re,im,χ
-2.01,-1.01,0.6924290686393291
-2.01,-1.0,0.6884235805528122
-2.01,-0.99,0.6844037754918644
-2.01,-0.98,0.680369507156818
-2.01,-0.97,0.6763206246108866
-2.01,-0.96,0.6722569720417305
-2.01,-0.95,0.6681783885112942
-2.01,-0.94,0.664084707693579
-2.01,-0.93,0.6599757575997826
-2.01,-0.92,0.6558513602904802
-2.01,-0.91,0.651711331574268
-2.01,-0.9,0.6475554806925344
-2.01,-0.89,0.6433836099898694
-2.01,-0.88,0.639195514569643
-2.01,-0.87,0.6349909819343508
-2.01,-0.86,0.6307697916103772
-2.01,-0.85,0.626531714756661
-2.01,-0.84,0.6222765137570191
-2.01,-0.83,0.6180039417957081
-2.01,-0.82,0.613713742416084
-2.01,-0.81,0.6094056490619245
-2.01,-0.8,0.605079384601495
-2.01,-0.79,0.6007346608341457
-2.01,-0.78,0.5963711779795147
-2.01,-0.77,0.591988624149562
-2.01,-0.76,0.5875866748036885
-2.01,-0.75,0.5831649921875162
-2.01,-0.74,0.5787232247560251
-2.01,-0.73,0.5742610065821151
-2.01,-0.72,0.5697779567518754
-2.01,-0.71,0.5652736787483318
-2.01,-0.7,0.5607477598258648
-2.01,-0.69,0.5561997703780206
-2.01,-0.68,0.5516292633022358
-2.01,-0.67,0.5470357733655775
-2.01,-0.66,0.5424188165768438
-2.01,-0.65,0.5377778895712523
-2.01,-0.64,0.5331124690155938
-2.01,-0.63,0.5284220110431553
-2.01,-0.62,0.5237059507299356
-2.01,-0.61,0.5189637016260252
-2.01,-0.6,0.5141946553588731
-2.01,-0.59,0.5093981813289662
-2.01,-0.58,0.5045736265224624
-2.01,-0.57,0.4997203154707871
-2.01,-0.56,0.4948375503934779
-2.01,-0.55,0.48992461156843325
-2.01,-0.54,0.48498075798314394
-2.01,-0.53,0.48000522833233494
-2.01,-0.52,0.47499724244172087
-2.01,-0.51,0.46995600321532666
-2.01,-0.5,0.4648806992258558
-2.01,-0.49,0.4597705080946684
-2.01,-0.48,0.45462460084181
-2.01,-0.47,0.44944214742884914
-2.01,-0.46,0.444222323769858
-2.01,-0.45,0.43896432055258344
-2.01,-0.44,0.4336673542951646
-2.01,-0.43,0.4283306811697761
-2.01,-0.42,0.422953614258712
-2.01,-0.41,0.4175355450796085
-2.01,-0.4,0.4120759704353799
-2.01,-0.39,0.4065745259252646
-2.01,-0.38,0.4010310278157142
-2.01,-0.37,0.3954455254378855
-2.01,-0.36,0.38981836688628063
-2.01,-0.35,0.3841502815836365
-2.01,-0.34,0.37844248430840105
-2.01,-0.33,0.37269680662737725
-2.01,-0.32,0.36691586343377364
-2.01,-0.31,0.36110326457952696
-2.01,-0.3,0.355263884554756
-2.01,-0.29,0.34940420696553753
-2.01,-0.28,0.3435327653407798
-2.01,-0.27,0.33766070762753814
-2.01,-0.26,0.33180251845307657
-2.01,-0.25,0.32597694015863343
-2.01,-0.24,0.32020813896080075
-2.01,-0.23,0.3145271624320183
-2.01,-0.22,0.30897372091977165
-2.01,-0.21,0.303598283974242
-2.01,-0.2,0.2984643888517296
-2.01,-0.19,0.2936508760932033
-2.01,-0.18,0.2892534586277574
-2.01,-0.17,0.2853845888629726
-2.01,-0.16,0.28217011912767614
-2.01,-0.15,0.27974109650824325
-2.01,-0.14,0.2782198085210618
-2.01,-0.13,0.27770143641964296
-2.01,-0.12,0.27823591259011615
-2.01,-0.11,0.27981666111941084
-2.01,-0.1,0.282381266703305
-2.01,-0.09,0.2858238898353414
-2.01,-0.08,0.29001410695927066
-2.01,-0.07,0.29481542218310175
-2.01,-0.06,0.30009896593011576
-2.01,-0.05,0.3057512177539057
-2.01,-0.04,0.31167681149362014
-2.01,-0.03,0.3177981901222748
-2.01,-0.02,0.32405365937816294
-2.01,-0.01,0.3303948789236587
-2.01,0.0,0.336784368578491
-2.01,0.01,0.34319329353365485
-2.01,0.02,0.3495996121150198
-2.01,0.03,0.355986579689233
-2.01,0.04,0.362341564879139
-2.01,0.05,0.36865512409526463
-2.01,0.06,0.3749202827786008
-2.01,0.07,0.38113197890673584
-2.01,0.08,0.38728663247614076
-2.01,0.09,0.3933818122165381
-2.01,0.1,0.39941597716328453
-2.01,0.11,0.40538827584417964
-2.01,0.12,0.4112983898602758
-2.01,0.13,0.4171464117454872
-2.01,0.14,0.4229327493660839
-2.01,0.15,0.42865805093100606
-2.01,0.16,0.43432314605998357
-2.01,0.17,0.4399289994032041
-2.01,0.18,0.44547667410327724
-2.01,0.19,0.4509673029989431
-2.01,0.2,0.4564020659359465
-2.01,0.21,0.46178217190856063
-2.01,0.22,0.46710884503138395
-2.01,0.23,0.47238331355456636
-2.01,0.24,0.47760680130181143
-2.01,0.25,0.482780521039744
-2.01,0.26,0.4879056693886334
-2.01,0.27,0.49298342296397435
-2.01,0.28,0.49801493550120557
-2.01,0.29,0.5030013357652925
-2.01,0.3,0.507943726086382
-2.01,0.31,0.5128431813939682
-2.01,0.32,0.5177007486469416
-2.01,0.33,0.5225174465769329
-2.01,0.34,0.5272942656784166
-2.01,0.35,0.5320321683917827
-2.01,0.36,0.5367320894361356
-2.01,0.37,0.5413949362568287
-2.01,0.38,0.546021589559588
-2.01,0.39,0.5506129039084682
-2.01,0.4,0.555169708369503
-2.01,0.41,0.5596928071853304
-2.01,0.42,0.5641829804690773
-2.01,0.43,0.5686409849082802
-2.01,0.44,0.5730675544713049
-2.01,0.45,0.577463401110642
-2.01,0.46,0.581829215458332
-2.01,0.47,0.5861656675102378
-2.01,0.48,0.5904734072963606
-2.01,0.49,0.5947530655353023
-2.01,0.5,0.5990052542714979
-2.01,0.51,0.6032305674941709
-2.01,0.52,0.6074295817374273
-2.01,0.53,0.6116028566612136
-2.01,0.54,0.6157509356130068
-2.01,0.55,0.6198743461702698
-2.01,0.56,0.6239736006640205
-2.01,0.57,0.628049196683678
-2.01,0.58,0.6321016175637679
-2.01,0.59,0.6361313328528165
-2.01,0.6,0.6401387987650706
-2.01,0.61,0.6441244586154603
-2.01,0.62,0.648088743238492
-2.01,0.63,0.6520320713915846
-2.01,0.64,0.6559548501433783
-2.01,0.65,0.65985747524772
-2.01,0.66,0.6637403315037236
-2.01,0.67,0.667603793102612
-2.01,0.68,0.6714482239617745
-2.01,0.69,0.6752739780465887
-2.01,0.7,0.679081399680592
-2.01,0.71,0.6828708238443008
-2.01,0.72,0.6866425764634184
-2.01,0.73,0.6903969746866127
-2.01,0.74,0.694134327153509
-2.01,0.75,0.697854934253162
-2.01,0.76,0.7015590883735
-2.01,0.77,0.7052470741421182
-2.01,0.78,0.7089191686586565
-2.01,0.79,0.7125756417193158
-2.01,0.8,0.716216756033655
-2.01,0.81,0.7198427674340934
-2.01,0.82,0.7234539250783655
-2.01,0.83,0.7270504716452384
-2.01,0.84,0.7306326435237531
-2.01,0.85,0.734200670996234
-2.01,0.86,0.737754778415348
-2.01,0.87,0.741295184375432
-2.01,0.88,0.7448221018782656
-2.01,0.89,0.7483357384935905
-2.01,0.9,0.7518362965145273
-2.01,0.91,0.7553239731080108
-2.01,0.92,0.7587989604606272
-2.01,0.93,0.7622614459198164
-2.01,0.94,0.7657116121306956
-2.01,0.95,0.7691496371687292
-2.01,0.96,0.7725756946682487
-2.01,0.97,0.775989953947108
-2.01,0.98,0.7793925801275315
-2.01,0.99,0.7827837342533066
-2.01,1.0,0.7861635734034776
-2.01,1.01,0.7895322508026227
-2.0,-1.01,0.6887920202510353
-2.0,-1.0,0.6847564556713273
-2.0,-0.99,0.6807061327862222
-2.0,-0.98,0.6766408943181428
-2.0,-0.97,0.672560577875145
-2.0,-0.96,0.6684650156821
-2.0,-0.95,0.6643540342979132
-2.0,-0.94,0.6602274543182163
-2.0,-0.93,0.656085090062824
-2.0,-0.92,0.6519267492473689
-2.0,-0.91,0.6477522326383522
-2.0,-0.9,0.6435613336909719
-2.0,-0.89,0.6393538381689743
-2.0,-0.88,0.6351295237457688
-2.0,-0.87,0.6308881595860484
-2.0,-0.86,0.6266295059072012
-2.0,-0.85,0.622353313519599
-2.0,-0.84,0.6180593233450538
-2.0,-0.83,0.613747265912577
-2.0,-0.82,0.6094168608306347
-2.0,-0.81,0.6050678162350678
-2.0,-0.8,0.6006998282118734
-2.0,-0.79,0.5963125801940271
-2.0,-0.78,0.591905742331609
-2.0,-0.77,0.587478970834451
-2.0,-0.76,0.5830319072866355
-2.0,-0.75,0.5785641779322807
-2.0,-0.74,0.5740753929320009
-2.0,-0.73,0.5695651455897567
-2.0,-0.72,0.5650330115497642
-2.0,-0.71,0.5604785479634897
-2.0,-0.7,0.5559012926269086
-2.0,-0.69,0.5513007630885687
-2.0,-0.68,0.5466764557293526
-2.0,-0.67,0.5420278448153474
-2.0,-0.66,0.5373543815258016
-2.0,-0.65,0.5326554929588404
-2.0,-0.64,0.5279305811186406
-2.0,-0.63,0.5231790218886465
-2.0,-0.62,0.5184001639970643
-2.0,-0.61,0.5135933279822157
-2.0,-0.6,0.5087578051676903
-2.0,-0.59,0.503892856659568
-2.0,-0.58,0.49899771238119245
-2.0,-0.57,0.494071570164843
-2.0,-0.56,0.4891135949244186
-2.0,-0.55,0.4841229179391148
-2.0,-0.54,0.47909863628549093
-2.0,-0.53,0.4740398124644012
-2.0,-0.52,0.46894547428067085
-2.0,-0.51,0.4638146150475406
-2.0,-0.5,0.45864619420583025
-2.0,-0.49,0.4534391384699795
-2.0,-0.48,0.4481923436414234
-2.0,-0.47,0.44290467726523913
-2.0,-0.46,0.4375749823512368
-2.0,-0.45,0.432202082437949
-2.0,-0.44,0.42678478835139044
-2.0,-0.43,0.4213219071044242
-2.0,-0.42,0.41581225350355394
-2.0,-0.41,0.41025466518641734
-2.0,-0.4,0.4046480220166128
-2.0,-0.39,0.3989912710275514
-2.0,-0.38,0.3932834584551831
-2.0,-0.37,0.38752377085790135
-2.0,-0.36,0.3817115879297804
-2.0,-0.35,0.375846550422534
-2.0,-0.34,0.36992864767477235
-2.0,-0.33,0.3639583307032719
-2.0,-0.32,0.3579366587766883
-2.0,-0.31,0.3518654900535956
-2.0,-0.3,0.3457477304762154
-2.0,-0.29,0.3395876600035292
-2.0,-0.28,0.33339136187205076
-2.0,-0.27,0.3271672894057133
-2.0,-0.26,0.32092701649701644
-2.0,-0.25,0.3146862326117726
-2.0,-0.24,0.30846606070816235
-2.0,-0.23,0.30229479464689396
-2.0,-0.22,0.29621016504638503
-2.0,-0.21,0.2902622334960677
-2.0,-0.2,0.28451695115422754
-2.0,-0.19,0.27906023497597504
-2.0,-0.18,0.27400200774622635
-2.0,-0.17,0.26947888856742547
-2.0,-0.16,0.2656530771371573
-2.0,-0.15,0.2627038403952973
-2.0,-0.14,0.26080817467155354
-2.0,-0.13,0.260110732502203
-2.0,-0.12,0.26069054222393145
-2.0,-0.11,0.26253883319693166
-2.0,-0.1,0.26556015107765407
-2.0,-0.09,0.26959639422252335
-2.0,-0.08,0.27446105929683007
-2.0,-0.07,0.27996931755117166
-2.0,-0.06,0.28595670230231773
-2.0,-0.05,0.29228672479384415
-2.0,-0.04,0.2988511396819093
-2.0,-0.03,0.3055665850054082
-2.0,-0.02,0.3123700730285976
-2.0,-0.01,0.31921461245807076
-2.0,0.0,0.32606547036944467
-2.0,0.01,0.3328971803792455
-2.0,0.02,0.33969123098847803
-2.0,0.03,0.34643431363392113
-2.0,0.04,0.35311700817049024
-2.0,0.05,0.3597328008823505
-2.0,0.06,0.3662773515802756
