ime,idos
3.5,0.12527669648166462
3.501,0.14600918729602064
3.502,0.1324423568766965
3.503,0.1376231907579501
3.504,0.13085135806070805
3.505,0.14022601324853837
3.506,0.1392692054085264
3.507,0.13349622466628447
3.508,0.1452128720943387
3.509,0.1320924329394086
3.51,0.13917559641428348
3.511,0.12891401492182064
3.512,0.15040570678588783
3.513,0.12816678994793745
3.514,0.14483137113439817
3.515,0.12429673214045175
3.516,0.14798206493474514
3.517,0.12180158700457629
3.518,0.1536375276476048
3.519,0.12648497700882097
3.52,0.153762727644028
3.521,0.11732900045312374
3.522,0.15904824825545746
3.523,0.12244556297674976
3.524,0.1593133180506043
3.525,0.1199572864192928
3.526,0.16538980306284856
3.527,0.11170780235607836
3.528,0.16242559996828343
3.529,0.11868740386644484
3.53,0.16680474693720856
3.531,0.11313564305391233
3.532,0.16066251466058723
3.533,0.11645084110726789
3.534,0.15885820484383845
3.535,0.12185093073915743
3.536,0.16381037510365995
3.537,0.12190042632412701
3.538,0.15455380621700152
3.539,0.1276620219987722
3.54,0.15962579162637847
3.541,0.1264657516318238
3.542,0.1610913142915273
3.543,0.13013476214847713
3.544,0.14895808199510222
3.545,0.13230755543003553
3.546,0.15685962151626454
3.547,0.13536946249172382
3.548,0.1450401766608064
3.549,0.13873616517370815
3.55,0.15198114759278677
3.551,0.1407406280508833
3.552,0.1481776810540374
3.553,0.14658790829236812
3.554,0.1393964962606034
3.555,0.1458384093634577
3.556,0.14581713389898
3.557,0.15052024644329035
3.558,0.13596192246704739
3.559,0.1513674033719691
3.56,0.1342896486215568
3.561,0.15369740286757164
3.562,0.13833498576304495
3.563,0.16107051414642212
3.564,0.13060391738771857
3.565,0.1596332976751725
3.566,0.13663161639108762
3.567,0.16439118569552502
3.568,0.13176892782812058
3.569,0.17099154215383916
3.57,0.1256050331906386
3.571,0.16792830577384357
3.572,0.13118902027220394
3.573,0.1731206389033696
3.574,0.12324134682524819
3.575,0.17395994420086214
3.576,0.12887145018515853
3.577,0.17843933595429395
3.578,0.12750312571483302
3.579,0.1795170173697667
3.58,0.12136096741109342
3.581,0.18048674166953801
3.582,0.1299321686382664
3.583,0.17901635894671147
3.584,0.1251371810273012
3.585,0.1770978471967904
3.586,0.12745216627299838
3.587,0.17847754369214117
3.588,0.13805359734520017
3.589,0.17633100571493707
3.59,0.1329127979275779
3.591,0.18116036070706393
3.592,0.14055860479330584
3.593,0.17854546880423
3.594,0.1454063523923199
3.595,0.17497533892666733
3.596,0.14089534028750297
3.597,0.18576366635040492
3.598,0.14516638299183376
3.599,0.17570048881882774
3.6,0.1479635074835258
3.601,0.17656209184892094
3.602,0.15488459945516034
3.603,0.18401175926480462
3.604,0.15450522729298252
3.605,0.18081688452038167
3.606,0.1666324678525253
3.607,0.1834528300672574
3.608,0.1709003846758739
3.609,0.18485949440259802
3.61,0.1670964209110099
3.611,0.19815909833703235
3.612,0.1728728381445533
3.613,0.19405203556466244
3.614,0.18716974439166076
3.615,0.20307831719029626
3.616,0.1950136131415613
3.617,0.20915451625703324
3.618,0.2013670584549963
3.619,0.22759937836544
3.62,0.21045714127120638
3.621,0.2417916826043611
3.622,0.23585688750135358
3.623,0.2782470508769075
3.624,0.27045857777060783
3.625,0.3451568512461811
3.626,0.3524814495663176
3.627,0.5748702724723109
3.628,0.7358822063831991
3.629,0.10145338843014683
3.63,0.0003523314144036678
3.631,5.879502351744079e-7
3.632,-7.340635390040212e-8
3.633,-7.735586068519162e-8
3.634,-7.976248039417164e-8
3.635,-8.228027815908222e-8
3.636,-8.458084403912751e-8
3.637,-8.683790699906401e-8
3.638,-8.904090052941812e-8
3.639,-9.121724807947075e-8
3.64,-9.321173858072272e-8
3.641,-9.527708477236481e-8
3.642,-9.708201421461919e-8
3.643,-9.899317418321898e-8
3.644,-1.0066462634731185e-7
3.645,-1.0238979454604238e-7
3.646,-1.0387313457048148e-7
3.647,-1.0538873955519022e-7
3.648,-1.0671778733808089e-7
3.649,-1.0801326259934116e-7
3.65,-1.0917381166310312e-7
3.651,-1.102575680010686e-7
3.652,-1.112538237457867e-7
3.653,-1.1205829204322265e-7
3.654,-1.1285668194726581e-7
3.655,-1.1351283037804699e-7
3.656,-1.1404218069554042e-7
3.657,-1.1446151916054398e-7
3.658,-1.1488297799531585e-7
3.659,-1.1504426745717137e-7
3.66,-1.1520212898786004e-7
3.661,-1.1521396771917871e-7
3.662,-1.1514325338675907e-7
3.663,-1.1498274139383042e-7
3.664,-1.1467709008895131e-7
3.665,-1.1431259852245636e-7
3.666,-1.1386127781316907e-7
3.667,-1.1325799726905432e-7
3.668,-1.1261690346378776e-7
3.669,-1.1187657635244758e-7
3.67,-1.1103316392989828e-7
3.671,-1.1004224444908995e-7
3.672,-1.0906609687784843e-7
3.673,-1.25162707423391e-7
3.674,-9.38184442287805e-6
3.675,-0.00036831377044868147
3.676,0.6173215631477823
3.677,0.6401305244027212
3.678,0.4615740837494082
3.679,0.32448072160065056
3.68,0.3306504276711714
3.681,0.2631347119352889
3.682,0.27933955103210606
3.683,0.23186375527164435
3.684,0.24592546478444352
3.685,0.2236566605709677
3.686,0.23082895463705977
3.687,0.20699369340702115
3.688,0.22480238209766884
3.689,0.2031224723193292
3.69,0.21191901736454025
3.691,0.19180623630067886
3.692,0.20903743930810487
3.693,0.18930132309198427
3.694,0.19666755112016437
3.695,0.19224455545518573
3.696,0.1953913295291655
3.697,0.18832562023240484
3.698,0.19014927354559055
3.699,0.17904395114944663
3.7,0.19669212188147375
3.701,0.1753827422550221
3.702,0.18584443972271433
3.703,0.1737862512681996
3.704,0.18668265688078228
3.705,0.17958010147305006
3.706,0.1836300839297163
3.707,0.17142073962230542
3.708,0.19213308141358001
3.709,0.170427797265797
3.71,0.1912499176916002
3.711,0.16769638118793617
3.712,0.18269836053423677
3.713,0.17539073765212107
3.714,0.18235327831978906
3.715,0.166036160914574
3.716,0.18162509276438799
3.717,0.16524075124985302
3.718,0.19019300143604953
3.719,0.16558179408885823
3.72,0.18158095978265257
3.721,0.17076491320497555
3.722,0.18487046532175883
3.723,0.17023133479136254
3.724,0.18503512328415442
3.725,0.16191697083983525
3.726,0.18828627929133737
3.727,0.16579374722728238
3.728,0.18335214458262059
3.729,0.16392791308766558
3.73,0.19089272749845546
3.731,0.1633664634908715
3.732,0.19123688704402633
3.733,0.1589821848946218
3.734,0.18763398814941512
3.735,0.16598971169848667
3.736,0.18643643744180427
3.737,0.15819526261724945
3.738,0.18671497182770838
3.739,0.1575048835947744
3.74,0.1978708095320067
3.741,0.1569786650385518
3.742,0.18813848898248772
3.743,0.16479707110543027
3.744,0.1911083450008586
3.745,0.1643993840041319
3.746,0.19141915478879212
3.747,0.15595986192422556
3.748,0.19717639810137694
3.749,0.15892796543219445
3.75,0.19109234246677384
3.751,0.1605223941942566
3.752,0.19688869463881425
3.753,0.16074992666424429
3.754,0.1971275084828239
3.755,0.1549151232188251
3.756,0.1973532257846691
3.757,0.16065336810105418
3.758,0.19430756638177873
3.759,0.15463334597057263
3.76,0.1949033767721687
3.761,0.15698522683437735
3.762,0.20355133677612247
3.763,0.15355166349332558
3.764,0.19911877072375703
3.765,0.16101757019226362
3.766,0.2009845800892915
3.767,0.16060412131638815
3.768,0.19888615030899565
3.769,0.1532897273430357
3.77,0.2106489271853652
3.771,0.1521179974219396
3.772,0.20046338689693077
3.773,0.153256860416605
3.774,0.20224428370604433
3.775,0.16103531047215677
3.776,0.2027229013314954
3.777,0.15231799823387798
3.778,0.2138837188361247
3.779,0.1519476071735126
3.78,0.2157097092848196
3.781,0.1516691222958045
3.782,0.20532540132278002
3.783,0.16120402107743098
3.784,0.20584717374599135
3.785,0.15290172521344744
3.786,0.21595046431093698
3.787,0.15256715142720176
3.788,0.21928790207661417
3.789,0.1520021168015485
3.79,0.20826752730823062
3.791,0.16170115984245062
3.792,0.20885100808431378
3.793,0.15405565420677406
3.794,0.20883139520945523
3.795,0.15302977522342806
3.796,0.22202424341320554
3.797,0.15273798901873642
3.798,0.21137290379458107
3.799,0.1623018326594312
3.8,0.21421411509289157
3.801,0.16226414993199884
3.802,0.21159179029023992
3.803,0.15654336561708873
3.804,0.2215426688469528
3.805,0.154778329901026
3.806,0.2131517895211234
3.807,0.15601940089358382
3.808,0.2164703334575026
3.809,0.16320026171412733
3.81,0.2134205904994979
3.811,0.16082458388015408
3.812,0.2210387154298901
3.813,0.16290382505826279
3.814,0.21925948005588947
3.815,0.15788440850227858
3.816,0.221746842738138
3.817,0.16253643463383113
3.818,0.21574748085055093
3.819,0.16593422456517157
3.82,0.22017026914159746
3.821,0.16727036531829192
3.822,0.2193861740793895
3.823,0.1590010944481227
3.824,0.2290617146262663
3.825,0.16014003699637674
3.826,0.2187139991853684
3.827,0.16105281078997716
3.828,0.22182018615561064
