re,im,χ
-0.53,-0.51,0.5890791236310787
-0.53,-0.5,0.5846584645438513
-0.53,-0.49,0.5802471119968933
-0.53,-0.48,0.5758470124474706
-0.53,-0.47,0.5714602878997533
-0.53,-0.46,0.5670892536804217
-0.53,-0.45,0.5627364380115665
-0.53,-0.44,0.5584046035224172
-0.53,-0.43,0.5540967708384352
-0.53,-0.42,0.5498162443772692
-0.53,-0.41,0.5455666404640802
-0.53,-0.4,0.5413519178504272
-0.53,-0.39,0.5371764106781484
-0.53,-0.38,0.5330448638677279
-0.53,-0.37,0.5289624708240164
-0.53,-0.36,0.5249349132343076
-0.53,-0.35,0.520968402576947
-0.53,-0.34,0.5170697227539667
-0.53,-0.33,0.5132462729993613
-0.53,-0.32,0.5095061098858994
-0.53,-0.31,0.5058579868492539
-0.53,-0.3,0.5023113891638101
-0.53,-0.29,0.49887656173889583
-0.53,-0.28,0.49556452646850657
-0.53,-0.27,0.4923870851851307
-0.53,-0.26,0.48935680358456596
-0.53,-0.25,0.48648697087631104
-0.53,-0.24,0.4837915294779876
-0.53,-0.23,0.4812849689541191
-0.53,-0.22,0.4789821787729655
-0.53,-0.21,0.476898255512437
-0.53,-0.2,0.4750482620696545
-0.53,-0.19,0.4734469393469639
-0.53,-0.18,0.47210837481275797
-0.53,-0.17,0.47104563710056585
-0.53,-0.16,0.47027039101382007
-0.53,-0.15,0.469792512297387
-0.53,-0.14,0.4696197254770621
-0.53,-0.13,0.4697572900497869
-0.53,-0.12,0.4702077595705644
-0.53,-0.11,0.47097083434026726
-0.53,-0.1,0.4720433216230538
-0.53,-0.09,0.47341920839282253
-0.53,-0.08,0.4750898418006939
-0.53,-0.07,0.4770442033642658
-0.53,-0.06,0.4792692556725292
-0.53,-0.05,0.4817503361080322
-0.53,-0.04,0.48447157102908744
-0.53,-0.03,0.4874162857420987
-0.53,-0.02,0.49056738969019326
-0.53,-0.01,0.4939077216379789
-0.53,0.0,0.49742034531081786
-0.53,0.01,0.5010887912024581
-0.53,0.02,0.5048972446152772
-0.53,0.03,0.5088306832242755
-0.53,0.04,0.5128749695559519
-0.53,0.05,0.5170169048828003
-0.53,0.06,0.5212442513610587
-0.53,0.07,0.525545729007418
-0.53,0.08,0.5299109935226585
-0.53,0.09,0.5343306001937139
-0.53,0.1,0.538795958262719
-0.53,0.11,0.5432992793270442
-0.53,0.12,0.5478335225780733
-0.53,0.13,0.5523923390251375
