re,im,χ
-4.2,-3.02,1.6355761695958513
-4.2,-3.0,1.6309830385198618
-4.2,-2.98,1.627500895713076
-4.2,-2.96,1.6248847394825123
-4.2,-2.94,1.6230829035582444
-4.2,-2.92,1.6214215002500019
-4.2,-2.9,1.6178641769384967
-4.2,-2.88,1.614552303168245
-4.2,-2.86,1.6155012475265944
-4.2,-2.84,1.6103067310997534
-4.2,-2.82,1.6090391230112078
-4.2,-2.8,1.6063289159818994
-4.2,-2.78,1.6048414588072721
-4.2,-2.76,1.5992940068377979
-4.2,-2.74,1.598968612710396
-4.2,-2.72,1.5950799025848572
-4.2,-2.7,1.5947841690871538
-4.2,-2.68,1.5916138183989448
-4.2,-2.66,1.5879549792475274
-4.2,-2.64,1.585512757517918
-4.2,-2.62,1.5824430066655253
-4.2,-2.6,1.5807379078466126
-4.2,-2.58,1.5795190215848793
-4.2,-2.56,1.577067504354232
-4.2,-2.54,1.5723261459359428
-4.2,-2.52,1.57126433591936
-4.2,-2.5,1.5678423093958356
-4.2,-2.48,1.5666478628621454
-4.2,-2.46,1.5627650669923583
-4.2,-2.44,1.562138469877499
-4.2,-2.42,1.5595262726251005
-4.2,-2.4,1.5571844181177439
-4.2,-2.38,1.5540714080101425
-4.2,-2.36,1.5506702654101223
-4.2,-2.34,1.5497336578371341
-4.2,-2.32,1.545100935407703
-4.2,-2.3,1.5445184495871904
-4.2,-2.28,1.5435186284332
-4.2,-2.26,1.538384794903124
-4.2,-2.24,1.535703451720344
-4.2,-2.22,1.535959140863378
-4.2,-2.2,1.5335187771644725
-4.2,-2.18,1.528567488554652
-4.2,-2.16,1.528991397869919
-4.2,-2.14,1.5246496297867385
-4.2,-2.12,1.5230150947272727
-4.2,-2.1,1.5215436143537127
-4.2,-2.08,1.5176856827253018
-4.2,-2.06,1.5169345910137264
-4.2,-2.04,1.5146559206056054
-4.2,-2.02,1.510829599844263
-4.2,-2.0,1.509148591096991
-4.2,-1.98,1.5083862727223032
-4.2,-1.96,1.5041659878207592
-4.2,-1.94,1.502243037104389
-4.2,-1.92,1.4997138265306629
-4.2,-1.9,1.4983037108515174
-4.2,-1.88,1.494974974655032
-4.2,-1.86,1.4944111500051196
-4.2,-1.84,1.4906840908342935
-4.2,-1.82,1.487000691735836
-4.2,-1.8,1.4854772734776922
-4.2,-1.78,1.485391647940575
-4.2,-1.76,1.4833899802388244
-4.2,-1.74,1.4811998737673686
-4.2,-1.72,1.479600415158461
-4.2,-1.7,1.4752572948361231
-4.2,-1.68,1.4735270411457755
-4.2,-1.66,1.471163782324329
-4.2,-1.64,1.466982492934916
-4.2,-1.62,1.4659734917463316
-4.2,-1.6,1.4653492992283703
-4.2,-1.58,1.4628348476578834
-4.2,-1.56,1.4598554906061703
-4.2,-1.54,1.459373741760415
-4.2,-1.52,1.458409554596497
-4.2,-1.5,1.4550889037426997
-4.2,-1.48,1.4531292117374046
-4.2,-1.46,1.4510046432017072
-4.2,-1.44,1.4514687777771569
-4.2,-1.42,1.4486140901825635
-4.2,-1.4,1.4469146862773095
-4.2,-1.38,1.4457111906807474
-4.2,-1.36,1.4425459953460635
-4.2,-1.34,1.440774194116838
-4.2,-1.32,1.438051060486082
-4.2,-1.3,1.4384282563509068
-4.2,-1.28,1.4341556579852124
-4.2,-1.26,1.4329605198162538
-4.2,-1.24,1.4323806315069003
-4.2,-1.22,1.4289110299822325
-4.2,-1.2,1.4296643053314964
-4.2,-1.18,1.4261629694321458
-4.2,-1.16,1.4231065213775158
-4.2,-1.14,1.4237915694366987
-4.2,-1.12,1.4225484407564768
-4.2,-1.1,1.4174306989055327
-4.2,-1.08,1.4185304039332676
-4.2,-1.06,1.41633802824118
-4.2,-1.04,1.4154777360511492
-4.2,-1.02,1.414670411368061
-4.2,-1.0,1.412028382908229
-4.2,-0.98,1.4117936566334661
-4.2,-0.96,1.4088247171509485
-4.2,-0.94,1.4072897965860838
-4.2,-0.92,1.4065231488750793
-4.2,-0.9,1.4042696420583665
-4.2,-0.88,1.4007869006559153
-4.2,-0.86,1.4026997349845343
-4.2,-0.84,1.4015885716436591
-4.2,-0.82,1.4000159381029815
-4.2,-0.8,1.3986524383459689
-4.2,-0.78,1.397134992993104
-4.2,-0.76,1.3950647115701678
-4.2,-0.74,1.3963061199779876
-4.2,-0.72,1.3958474038977258
-4.2,-0.7,1.3924791139333548
-4.2,-0.68,1.3914598453460865
-4.2,-0.66,1.3899103931798786
-4.2,-0.64,1.3918970283126826
-4.2,-0.62,1.3907377441576387
-4.2,-0.6,1.3872394487274313
-4.2,-0.58,1.3872174923390517
-4.2,-0.56,1.3849290568798869
-4.2,-0.54,1.384225976499301
-4.2,-0.52,1.3843975876270913
-4.2,-0.5,1.3824207640284967
-4.2,-0.48,1.382332794014422
-4.2,-0.46,1.3810640104846694
-4.2,-0.44,1.3807447511859354
-4.2,-0.42,1.3805175789158255
-4.2,-0.4,1.3814806014759429
-4.2,-0.38,1.3788072298922802
-4.2,-0.36,1.3771710014188643
-4.2,-0.34,1.3766260157199652
-4.2,-0.32,1.37788354383308
-4.2,-0.3,1.376428207402373
-4.2,-0.28,1.3753899233366274
-4.2,-0.26,1.376603956131202
-4.2,-0.24,1.3749409985024863
-4.2,-0.22,1.3764369468156876
-4.2,-0.2,1.3762250810172971
-4.2,-0.18,1.3749290567040737
-4.2,-0.16,1.3728373652671382
-4.2,-0.14,1.3733477442309254
-4.2,-0.12,1.3713823020960858
-4.2,-0.1,1.3715133042736063
